6791366_5|COMPLETED|0:0|00:00:04|2|00:01.112|
6791366_5.batch|COMPLETED|0:0|00:00:04|2|00:01.111|1232K
6791366_5.extern|COMPLETED|0:0|00:00:04|2|00:00.001|140K
6791366_6|COMPLETED|0:0|00:00:16|2|00:08.747|
6791366_6.batch|COMPLETED|0:0|00:00:16|2|00:08.745|86248K
6791366_6.extern|COMPLETED|0:0|00:00:16|2|00:00.001|0
6791366_7|COMPLETED|0:0|00:00:07|2|00:02.101|
6791366_7.batch|COMPLETED|0:0|00:00:07|2|00:02.099|54008K
6791366_7.extern|COMPLETED|0:0|00:00:07|2|00:00.001|128K
6791380_0|COMPLETED|0:0|00:00:07|2|00:03.467|
6791380_0.batch|COMPLETED|0:0|00:00:07|2|00:03.465|1476K
6791380_0.extern|COMPLETED|0:0|00:00:07|2|00:00.001|128K
6791380_1|COMPLETED|0:0|00:00:06|2|00:02.827|
6791380_1.batch|COMPLETED|0:0|00:00:06|2|00:02.826|1484K
6791380_1.extern|COMPLETED|0:0|00:00:06|2|00:00.001|128K
6791380_2|COMPLETED|0:0|00:00:23|2|00:20.302|
6791380_2.batch|COMPLETED|0:0|00:00:23|2|00:20.300|1456K
6791380_2.extern|COMPLETED|0:0|00:00:23|2|00:00.001|0
6791380_3|COMPLETED|0:0|00:00:19|2|00:15.631|
6791380_3.batch|COMPLETED|0:0|00:00:19|2|00:15.629|2408K
6791380_3.extern|COMPLETED|0:0|00:00:19|2|00:00.001|0
6791380_4|COMPLETED|0:0|00:00:40|2|00:37.225|
6791380_4.batch|COMPLETED|0:0|00:00:40|2|00:37.223|187440K
6791380_4.extern|COMPLETED|0:0|00:00:40|2|00:00.001|136K
6791380_5|COMPLETED|0:0|00:00:35|2|00:32.020|
6791380_5.batch|COMPLETED|0:0|00:00:35|2|00:32.019|165684K
6791380_5.extern|COMPLETED|0:0|00:00:35|2|00:00.001|128K
6791380_6|COMPLETED|0:0|00:00:22|2|00:16.204|
6791380_6.batch|COMPLETED|0:0|00:00:22|2|00:16.203|40240K
6791380_6.extern|COMPLETED|0:0|00:00:22|2|00:00.001|0
6791380_7|COMPLETED|0:0|00:00:26|2|00:19.723|
6791380_7.batch|COMPLETED|0:0|00:00:26|2|00:19.722|17028K
6791380_7.extern|COMPLETED|0:0|00:00:26|2|00:00.001|0
6791380_8|COMPLETED|0:0|00:00:08|2|00:02.270|
6791380_8.batch|COMPLETED|0:0|00:00:08|2|00:02.268|28M
6791380_8.extern|COMPLETED|0:0|00:00:08|2|00:00.001|128K
6791380_9|COMPLETED|0:0|00:00:08|2|00:02.036|
6791380_9.batch|COMPLETED|0:0|00:00:08|2|00:02.034|35980K
6791380_9.extern|COMPLETED|0:0|00:00:08|2|00:00.001|0
6791380_10|COMPLETED|0:0|00:00:08|2|00:02.350|
6791380_10.batch|COMPLETED|0:0|00:00:08|2|00:02.348|44972K
6791380_10.extern|COMPLETED|0:0|00:00:08|2|00:00.001|128K
6791380_11|COMPLETED|0:0|00:00:08|2|00:05.636|
6791380_11.batch|COMPLETED|0:0|00:00:08|2|00:05.634|6968K
6791380_11.extern|COMPLETED|0:0|00:00:08|2|00:00.001|0
6791380_12|COMPLETED|0:0|00:00:05|2|00:01.701|
6791380_12.batch|COMPLETED|0:0|00:00:05|2|00:01.699|1628K
6791380_12.extern|COMPLETED|0:0|00:00:05|2|00:00.001|0
6791380_13|COMPLETED|0:0|00:00:04|2|00:01.634|
6791380_13.batch|COMPLETED|0:0|00:00:04|2|00:01.632|1760K
6791380_13.extern|COMPLETED|0:0|00:00:04|2|00:00.001|128K
6791380_14|COMPLETED|0:0|00:00:12|2|00:09.135|
6791380_14.batch|COMPLETED|0:0|00:00:12|2|00:09.133|22512K
6791380_14.extern|COMPLETED|0:0|00:00:12|2|00:00.001|128K
6791380_15|COMPLETED|0:0|00:00:09|2|00:05.939|
6791380_15.batch|COMPLETED|0:0|00:00:09|2|00:05.938|13568K
6791380_15.extern|COMPLETED|0:0|00:00:10|2|00:00.001|128K
6791380_16|COMPLETED|0:0|00:00:07|2|00:04.001|
6791380_16.batch|COMPLETED|0:0|00:00:07|2|00:03.999|1712K
6791380_16.extern|COMPLETED|0:0|00:00:07|2|00:00.001|128K
6791380_17|COMPLETED|0:0|00:00:07|2|00:04.499|
6791380_17.batch|COMPLETED|0:0|00:00:07|2|00:04.498|1752K
6791380_17.extern|COMPLETED|0:0|00:00:07|2|00:00.001|128K
6791380_18|COMPLETED|0:0|00:00:04|2|00:01.646|
6791380_18.batch|COMPLETED|0:0|00:00:04|2|00:01.644|2920K
6791380_18.extern|COMPLETED|0:0|00:00:04|2|00:00.001|128K
6791380_19|COMPLETED|0:0|00:00:05|2|00:01.832|
6791380_19.batch|COMPLETED|0:0|00:00:05|2|00:01.831|3828K
6791380_19.extern|COMPLETED|0:0|00:00:05|2|00:00.001|0
6791380_20|COMPLETED|0:0|00:00:05|2|00:02.332|
6791380_20.batch|COMPLETED|0:0|00:00:05|2|00:02.331|1472K
6791380_20.extern|COMPLETED|0:0|00:00:05|2|00:00.001|0
6791380_21|COMPLETED|0:0|00:00:09|2|00:05.884|
6791380_21.batch|COMPLETED|0:0|00:00:09|2|00:05.882|2220K
6791380_21.extern|COMPLETED|0:0|00:00:09|2|00:00.001|0
6791453_0|FAILED|1:0|00:00:05|2|00:00.985|
6791453_0.batch|FAILED|1:0|00:00:05|2|00:00.983|19128K
6791453_0.extern|COMPLETED|0:0|00:00:05|2|00:00.001|128K
6791453_1|FAILED|1:0|00:00:05|2|00:00.993|
6791453_1.batch|FAILED|1:0|00:00:05|2|00:00.991|11504K
6791453_1.extern|COMPLETED|0:0|00:00:05|2|00:00.001|128K
